ID|NOMBRE|TELEFONO|CORREO|FECHA_INGRESO|EDAD|SALARIO|ID_EMPRESA
74|Kaitlin|817-0415|Etiam.laoreet.libero@odiosagittissemper.net|2009-05-22|56|6515|10
75|Nyssa|362-0379|nisi.sem.semper@egestasligulaNullam.edu|2002-04-29|53|2284|6
76|Omar|1-325-245-9578|elit.erat@utodiovel.co.uk|2012-11-19|34|12163|6
77|Brynne|1-357-977-8936|aliquet.nec.imperdiet@euismod.org|2013-06-04|22|16551|7
78|Lenore|1-817-973-5592|Nunc.pulvinar.arcu@Duisatlacus.co.uk|2014-07-07|57|1483|2
79|Philip|1-113-528-3055|nisi.Cum@malesuadavel.edu|2012-09-17|51|3919|10
80|Ebony|1-291-360-4704|parturient.montes.nascetur@vitaeerat.com|2014-05-22|59|3600|6
81|Joy|1-379-384-0646|mi.Aliquam@nislNulla.org|2015-11-15|19|1256|2
82|Cally|1-658-890-5167|id@dolor.edu|2008-12-13|67|24575|10
83|Giselle|1-515-799-6913|ipsum.Suspendisse.sagittis@Innec.org|2002-10-31|45|2503|2
84|Keith|1-319-281-9980|augue.ac@Nulla.co.uk|2008-01-03|33|13348|4
85|Kennedy|596-0668|nibh.sit@famesac.ca|2011-04-25|41|7272|3
86|Jack|860-9554|parturient.montes.nascetur@dui.com|2017-03-10|58|14473|5
87|Karly|1-644-725-7241|tempor.erat@feugiatnon.ca|2011-06-12|25|3715|1
88|Zeus|1-525-361-5753|non.magna.Nam@nuncid.org|2000-09-15|29|21556|7
89|Kelly|430-9134|turpis.In@egestasFusce.ca|2016-04-01|55|10110|6
90|Sigourney|598-8806|sit.amet@sem.net|2002-05-02|42|9145|6
91|Erica|1-320-339-2705|tristique.senectus@eleifendnondapibus.org|2015-02-23|32|8934|6
92|Lesley|973-4902|felis.adipiscing.fringilla@Proinvelnisl.co.uk|2004-02-29|19|23547|4
93|Althea|1-163-702-1244|sit.amet.nulla@elit.co.uk|2002-09-01|24|8818|1
94|Amir|1-221-717-0093|dapibus.ligula@faucibuslectus.com|2001-02-11|18|20980|4
95|Jayme|1-641-113-8418|ornare.Fusce@tinciduntcongueturpis.co.uk|2002-05-31|58|23975|4
96|Amos|729-4665|non.lacinia@pharetra.net|2017-11-27|42|15855|2
97|Flavia|1-559-270-7164|erat.vel.pede@sedtortor.co.uk|2004-11-14|27|13473|3
98|Yuli|772-9996|sagittis@nisl.com|2005-04-17|57|1336|5
99|Ray|1-420-314-2886|ac.risus.Morbi@telluseuaugue.org|2011-12-30|26|5570|1
100|Cynthia|148-9696|justo.nec.ante@tinciduntvehicula.org|2008-01-23|57|8682|5
